post_id,plage_cote,nature_rando,gastronomie,culture_histoire,velo,voile,campervan,ski,activites_famille,detente,shopping,roadtrip,citytrip,hiver,printemps,ete,automne,2_3_jours,semaine,plus,economique,medium,eleve,bebes,kids,ados,france,angleterre,mediterranee,europe,sans_decalage,plus_loin
65319,0,0,2,2,0,0,0,0,2,0,0,0,0,2,2,1,1,1,0,0,1,1,1,0,0,2,0,0,1,1,1,0
64980,0,0,2,2,0,0,0,0,1,0,0,0,0,2,2,1,1,1,1,0,2,1,0,0,0,1,0,0,1,1,1,0
45005,2,1,1,0,0,0,0,0,1,1,0,2,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0
6753,0,2,1,0,0,0,0,0,1,0,0,1,0,0,1,2,1,0,1,1,1,1,0,1,2,1,0,0,0,0,0,1
45404,0,1,0,0,0,0,0,0,2,0,0,2,0,0,1,2,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0
29935,0,0,0,2,0,0,0,0,2,0,0,0,0,1,2,1,2,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0
63997,0,0,1,2,0,0,0,0,2,0,0,0,0,1,2,1,2,1,0,0,0,1,1,0,1,2,0,0,0,1,1,0
55236,0,0,0,2,0,0,0,0,2,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0
64662,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,2,1,1,0,1,2,1,0,1,1,1,0,1,0,1,1,0
63834,0,0,0,2,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,2,0,1,0,1,1,0
15995,1,0,2,2,0,0,0,0,1,0,0,2,0,0,1,1,1,0,1,1,1,1,0,1,1,2,0,0,1,1,1,0
54707,0,0,2,2,0,0,0,0,1,0,0,0,0,2,2,1,2,1,1,0,2,1,0,1,1,1,0,0,0,1,1,0
39887,2,1,1,0,0,0,0,0,1,1,0,2,0,0,2,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0
12401,0,0,2,2,0,0,0,0,2,0,0,0,0,1,1,1,1,1,1,0,2,1,0,1,1,1,0,0,0,1,1,0
57402,1,1,0,0,0,0,0,0,1,1,0,2,0,0,2,2,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0
5787,0,2,1,2,0,0,0,0,2,0,0,2,0,0,1,1,0,1,1,0,0,1,0,2,1,0,0,0,0,1,1,0
51287,0,0,2,2,0,0,0,0,1,0,0,2,0,2,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0
31212,0,0,0,2,0,0,0,0,2,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0
46156,0,2,0,0,0,0,0,0,2,0,0,2,0,0,1,2,1,1,1,1,2,1,0,1,2,2,0,0,0,1,1,0
25022,2,2,2,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0
36966,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,2,1,1,0,1,2,1,0,1,1,1,0,1,0,1,1,0
2026,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,2,1,1,0,0,0,1,1,2,1,1,0,0,0,1,1,0
45054,1,2,2,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,2,2,0,0,1,1,1,0
54791,0,0,2,2,0,0,0,0,1,0,0,0,0,1,2,1,1,1,0,0,2,1,0,1,1,1,0,0,0,1,1,0
64503,1,2,2,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,2,2,0,0,1,1,1,0
50005,1,1,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0
27980,2,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,2,1,0,0,1,1,1,0
41452,1,1,1,0,0,0,0,0,1,1,0,2,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0
10726,2,1,2,0,0,0,0,0,1,1,0,2,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0
62811,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,2,0,1,0,1,1,0
32404,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,2,0,1,0,1,1,0
41814,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,2,0,0,0,1,1,0
22033,0,2,1,0,0,0,0,0,1,1,0,0,0,0,1,2,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0
26138,1,0,1,0,0,0,0,0,1,0,0,1,0,2,2,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0
28788,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,2,0
27862,0,1,1,2,0,0,0,0,2,1,0,2,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0
40712,0,2,0,0,0,0,0,0,1,0,0,2,0,0,1,2,1,1,1,1,2,1,0,1,2,2,0,1,0,1,1,0
35468,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0
16389,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0
24865,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,2,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1
22435,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0
5229,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,0,2,1,1,0,0,1,1,1,0
56182,0,0,2,2,0,0,0,0,1,0,1,0,0,2,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0
50001,0,2,1,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0
26341,1,1,0,1,0,0,0,0,1,0,0,1,0,0,2,2,1,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0
40721,1,1,0,0,0,0,0,0,1,1,0,2,0,0,2,2,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0
64389,1,2,2,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,2,2,0,0,1,1,1,0
42969,0,1,0,0,0,0,0,0,1,1,0,1,0,0,2,2,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,0
46967,0,0,0,2,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,2,0,1,0,1,1,0
61631,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0
30352,1,1,1,0,0,0,0,0,1,1,0,2,0,0,2,2,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0
58113,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,1,0
1441,1,1,1,0,0,0,0,0,1,1,0,0,0,0,2,1,2,1,1,0,0,1,0,1,0,0,1,0,1,1,1,0
